"Time","interest over time"
"2021-02-01",42
"2021-03-01",48
"2021-04-01",55
"2021-05-01",61
"2021-06-01",47
"2021-07-01",49
"2021-08-01",54
"2021-09-01",55
"2021-10-01",68
"2021-11-01",65
"2021-12-01",55
"2022-01-01",66
"2022-02-01",71
"2022-03-01",73
"2022-04-01",62
"2022-05-01",48
"2022-06-01",41
"2022-07-01",44
"2022-08-01",45
"2022-09-01",51
"2022-10-01",51
"2022-11-01",49
"2022-12-01",53
"2023-01-01",51
"2023-02-01",60
"2023-03-01",49
"2023-04-01",44
"2023-05-01",41
"2023-06-01",37
"2023-07-01",29
"2023-08-01",25
"2023-09-01",33
"2023-10-01",28
"2023-11-01",32
"2023-12-01",39
"2024-01-01",29
"2024-02-01",39
"2024-03-01",40
"2024-04-01",32
"2024-05-01",33
"2024-06-01",32
"2024-07-01",34
"2024-08-01",29
"2024-09-01",42
"2024-10-01",37
"2024-11-01",33
"2024-12-01",38
"2025-01-01",36
"2025-02-01",46
"2025-03-01",34
"2025-04-01",27
"2025-05-01",33
"2025-06-01",32
"2025-07-01",29
"2025-08-01",26
"2025-09-01",34
"2025-10-01",34
"2025-11-01",70
"2025-12-01",100
"2026-01-01",88
"2026-02-01",61